nome_produto,preco,estoque
Mouse Gamer,150.90,10
Teclado Mecânico,299.99,5
Monitor 24",899.90,3
Fone de Ouvido,120.00,8
Cadeira Gamer,1299.90,4
Webcam HD,249.90,6
Mouse Pad,39.90,25
Notebook Gamer,7999.00,2
Fonte 600W,499.90,7
Placa de Vídeo RTX 3060,2499.99,1
HD Externo 1TB,399.90,9
SSD 500GB,459.90,12
Memória RAM 16GB,389.90,15
Processador Ryzen 5,1299.00,5
Cooler CPU,149.90,11
Gabinete ATX,349.90,6
Switch Gigabit,199.90,8
Roteador Wi-Fi 6,599.90,4
Cabo HDMI,29.90,50
Cabo USB-C,39.90,45
Suporte Monitor,159.90,7
Impressora,899.90,3
Scanner,799.90,2
Microfone USB,299.90,6
Headset Gamer,499.90,9
Mouse Sem Fio,199.90,10
Teclado Wireless,249.90,8
Tablet,1299.00,5
Smartphone,3499.90,4
Carregador USB,59.90,30
Pen Drive 64GB,79.90,40
Pen Drive 128GB,129.90,35
Cartão SD 64GB,89.90,20
Cartão SD 128GB,149.90,18
Power Bank,199.90,12
Monitor 27",,5
Notebook Office,abc,3
,299.90,6
Cadeira Escritório,-499.90,4
Mouse Básico,59.90,-10
Teclado Numérico,,15
Webcam Full HD,399.90,
Fone Bluetooth,199,90,7
Adaptador HDMI,29.90,abc